fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R b kq - 0 1,g2e1->f1g1->e4g4,2,2,0,2.244018316268921
r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1 w - - 1 1,e4e6->f7e6->d3g6,2,2,0,4.032571077346802
6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K w - - 1 1,a3c3->g8f8->d1d8,2,2,0,0.5436379909515381
r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3 w - - 1 1,h4f6->g7g8->h6h8,2,2,0,0.5943841934204102
r3k2r/1Bp2ppp/8/4q1b1/pP1n4/P1KP3P/1BP5/R2Q3R b - - 0 1,d4c2->c3c4->c2e3,2,2,0,1.0479180812835693
r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4 w - - 1 1,h5g6->g8f8->h6h7,2,2,0,0.2593648433685303
k1n3rr/Pp3p2/3q4/3N4/3Pp2p/1Q2P1p1/3B1PP1/R4RK1 w - - 1 1,a1b1->h8h7->b3b7,2,2,0,6.068195104598999
8/1p3k2/4p1rp/p3Pp1Q/3qnP2/1P6/P6P/2R2R1K b - - 0 1,d4d1->h5h6->e4f2,2,2,0,0.3359100818634033
r1bq3r/ppp1b1kp/2n3p1/3B3Q/3p4/8/PPP2PPP/RNB2RK1 w - - 1 1,c1h6->g7f6->h5g5,2,2,0,0.5336639881134033
4r3/pbpn2n1/1p1prp1k/8/2PP2PB/P5N1/2B2R1P/R5K1 w - - 1 1,f2f6->e6f6->g4g5,2,2,0,3.6057608127593994
1q5r/1b1r1p1k/2p1pPpb/p1Pp4/3B1P1Q/1P4P1/P4KB1/2RR4 w - - 1 1,d1h1->h8g8->h4h6,2,2,0,0.19669198989868164
r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R w - - 1 1,f4f5->g6h6->d6f7,2,2,0,0.9676930904388428
r1bqk2r/bppp1ppp/8/PB2N3/3n4/B7/2PPQnPP/RN2K2R w KQkq - 1 1,e2f2->h8g8->f2f7,2,2,0,0.27727198600769043
1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K b - - 0 1,h6h2->h1h2->e4h4,2,2,0,0.6936159133911133
