fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
2r2Nrk/1pqn2b1/p2p1n2/P1pP1Q1p/2P2P2/4B2P/1P4PK/4RR2 w - - 0 1,f5h7->f6h7->f8g6,2,2,0,0.461820125579834
6nk/6pp/6q1/6NQ/8/8/6PP/6K1 w - - 0 1,h5g6->g8e7->g6h7,2,2,0,0.050063133239746094
3R1r1k/p1p3bp/1p4p1/3Q1q2/2B2r2/8/PPP3PP/7K w - - 0 1,a2a4->f8g8->d5g8,2,2,0,0.5710270404815674
2B5/Brp3q1/k1N3r1/1Np5/7p/nnQ3p1/4b1K1/1R6 w - - 0 1,b1a1->g7h8->b5c7,2,2,0,1.174147129058838
N1Q5/6q1/3p4/1n1kp3/1p6/4Bb2/2K5/8 w - - 0 1,c2b3->g7h8->c8c4,2,2,0,0.26271986961364746
2r5/1N1Q4/ppr3p1/Pkb2bR1/8/BP6/q1NP3p/2K5 w - - 0 1,c2b4->c8h8->d7c6,2,2,0,5.6595001220703125
nr1Nk3/2p1B3/1pp1B3/4nb2/4R3/6q1/8/3Q1K2 w - - 0 1,d1d6->b8d8->d6d8,2,2,0,2.7088329792022705
r2q1b1r/pppbkBpp/2np1n2/5pN1/3QP2P/1PN5/PBP2PP1/R3K2R w - - 0 1,d4e5->d7e6->e5e6,2,2,0,5.329087018966675
3RNbk1/ppp2p2/4rQpp/8/1qr5/7P/P4P2/3R2K1 w - - 0 1,f6g7->f8g7->e8f6,2,2,0,1.414158821105957
2b1n1N1/3r4/4p3/2N4p/1pP2k1p/1K3P2/3pP3/1Bq3Q1 w - - 0 1,e2e3->f4e5->g1h2,2,2,0,0.7963478565216064
8/4pK2/4p2p/3rp2k/4N3/2R5/4n3/2Qq4 w - - 0 1,c1e3->h5h4->e3h3,2,2,0,1.078423023223877
6r1/1R2B2k/qpp3p1/5p2/7K/8/8/2Q5 w - - 0 1,c1h6->h7h6->e7g5,2,2,0,0.15539312362670898
2r1b1rk/1p4np/p2ppR1Q/q5Pp/P3P3/2N1B3/1PP4P/R5K1 w - - 0 1,b2b4->g8f8->f6f8,2,2,0,0.21116089820861816
6nk/7p/2b3P1/5qn1/8/8/6RQ/7K w - - 0 1,h2h7->g5h7->g6g7,2,2,0,0.2048020362854004
1r5r/3Rb1pn/1p3kp1/2P2p2/2B1pP2/4P3/PP3qPP/1K1R4 w - - 0 1,d1d6->e7d6->d7f7,2,2,0,2.427683115005493
6rb/p2KQpkr/P1p2n1p/R1B4P/1p3p2/1P3Pp1/6q1/8 w - - 0 1,e7f6->g7f6->c5d4,2,2,0,0.05589008331298828
rr2k3/pppq1p2/1b1pNBnQ/1b2p1N1/4P3/2PP4/PP3PPP/R4RK1 w - - 0 1,g5h7->b8d8->e6g7,2,2,0,0.22487711906433105
r1b3n1/ppp3Rr/5q1p/4p2k/2BBp1pn/2N3P1/PPP3K1/R6Q w - - 0 1,h1h4->f6h4->c4f7,2,2,0,0.8592510223388672
2r1nr1k/pp1q1p1p/3bpp2/5P2/1P1Q4/P3P3/1BP2P1P/R3K1R1 w - - 0 1,d4g4->f8g8->g4g8,2,2,0,0.6725509166717529
1B5b/4pK1p/bk6/p5Qp/Pp1p4/1P1qp3/8/6nB w - - 0 1,g5g2->h8g7->g2c6,2,2,0,0.4428849220275879
2r1k2r/1b2npQp/p3N1n1/q7/1p6/2N5/PPP3PP/2KR3R w k - 0 1,h1f1->h8g8->g7f7,2,2,0,0.2234210968017578
rn3br1/k4q1p/p1p2p2/P7/Q1bN2p1/2P3P1/5P1P/1R1R2K1 w - - 0 1,b1b8->g8h8->d4c6,2,2,0,0.585921049118042
5k2/4qrbQ/5rRR/8/8/8/8/7K w - - 0 1,h7h8->g7h8->h6h8,2,2,0,0.03911614418029785
k5r1/ppKN4/8/PP6/R7/8/6p1/8 w - - 0 1,a5a6->g8h8->a6b7,2,2,0,0.06038403511047363
6kr/r4ppp/5q2/5NQ1/8/B7/5PPP/6K1 w - - 0 1,f5h6->f6h6->g5d8,2,2,0,0.2167208194732666
r2q1b1r/6pk/6Rp/7P/6Q1/8/8/2B3K1 w - - 0 1,g4e4->h8g8->g6h6,2,2,0,0.1610727310180664
8/2Q5/2n1qkp1/p6p/1pPpP1P1/1P1N1K2/P7/8 w - - 0 1,g4g5->f6g5->c7f4,2,2,0,1.0028140544891357
3qnrnk/5p2/3p1b1B/p2P1B2/1rp1Pp2/2N4R/1PP3PP/R6K w - - 0 1,h6f4->h8g7->h3h7,2,2,0,0.19581389427185059
r1b3k1/1pn1R2r/p4Q1p/6pP/1Bp3P1/8/PPq2P2/6K1 w - - 0 1,f6f3->g8h8->f3f8,2,2,0,0.21822524070739746
bb1Nn3/n5pp/4Q3/2pp1Pk1/6Pp/3Pp3/1B1qB2P/5K2 w - - 0 1,b2e5->e8c7->d8f7,2,2,0,0.6041982173919678
1r1q4/1br3pp/2kbQ1n1/p1pp4/5B1P/2PP2PB/P4P2/1R2R1K1 w - - 0 1,a2a4->d8h8->e6d6,2,2,0,1.0004053115844727
7k/5K1p/6P1/5Q2/8/2q5/8/8 w - - 0 1,f5b1->c3c8->g6g7,2,2,0,0.10694003105163574
2bkq2r/1r1n4/1PQ4p/p2NpP2/3P4/8/PP4PP/R1B2RK1 w - - 0 1,c6f6->e8e7->f6e7,2,2,0,0.2654249668121338
1n1qbr1k/r4pp1/p1p1pNPp/1p2P2Q/P1p5/4P3/1Pn1KP1P/R1B3R1 w - - 0 1,g6f7->f8g8->f7g8r,2,2,0,1.0566987991333008
r7/8/8/8/8/5bNr/5K1k/R7 w - - 0 1,a1g1->a8h8->g3f1,2,2,0,0.4979698657989502
rnb3nr/ppp3pp/3p4/4Q3/k3P3/N1PqB3/PP6/R6K w - - 0 1,b2b4->g8e7->e5a5,2,2,0,2.081937074661255
8/8/4pq2/2K1kpp1/4p3/5P2/8/2B5 w - - 0 1,f3f4->g5f4->c1b2,2,2,0,0.1307070255279541
8/2pn1ppp/3p3k/1Q5n/5b1P/1P5K/2BB2N1/6q1 w - - 0 1,c2d1->d7f8->b5h5,2,2,0,0.5659089088439941
6R1/1p3p1p/5p1k/1Q5n/2P4P/1P3P2/6PK/3q4 w - - 0 1,b5g5->f6g5->h4g5,2,2,0,1.2323620319366455
rnbk3r/pppp1BRp/8/8/4n3/5N1q/PB1QKP1P/R7 w - - 0 1,b2a3->h8g8->g7g8,2,2,0,3.6370608806610107
2q3r1/5Kp1/3B3k/Q6p/4P3/6PP/8/8 w - - 0 1,g3g4->g8h8->a5h5,2,2,0,0.18279027938842773
r1b1R3/p1q2rkp/2p2p1n/2Pp1PpQ/3P4/3B2NP/P3R1P1/6K1 w - - 0 1,h5f3->c8d7->g3h5,2,2,0,1.3226487636566162
5R2/6pk/7p/7P/8/8/1rqr1RQ1/7K w - - 0 1,f2d2->c2c8->g2g6,2,2,0,0.353302001953125
1r3n1k/1qp3p1/6Pp/p3Q2P/2B5/8/PPP2B2/2K5 w - - 0 1,f2d4->f8h7->e5g7,2,2,0,0.3069601058959961
4R1rk/2p2r1p/p2q1P1Q/2p4N/7P/2P5/P5P1/7K w - - 0 1,h6g7->f7g7->f6g7,2,2,0,0.13410401344299316
2R5/8/3p4/3kNK2/r7/2Q2P2/4q3/8 w - - 0 1,c3c5->d6c5->c8d8,2,2,0,1.3594188690185547
8/8/8/p7/b1QB4/k2p4/P2bq3/K2n4 w - - 0 1,a1b1->a4e8->c4b3,2,2,0,0.6679928302764893
bk6/p1b5/Qn1N4/2K1N3/r7/8/8/8 w - - 0 1,c5b5->a8b7->a6b7,2,2,0,0.3262178897857666
1Qbk1b1r/1p1n1pp1/n6p/1q6/5B2/5N2/PP3PPP/3RR1K1 w - - 0 1,d1c1->h8g8->c1c8,2,2,0,0.29045867919921875
rk1r4/pp1Qbp1p/1q2pN2/8/8/P5P1/1P3PBP/2R3K1 w - - 0 1,d7d1->d8h8->f6d7,2,2,0,0.4256572723388672
rn6/1k1p4/1B6/2Q5/2N5/n7/3b4/7K w - - 0 1,c5d5->b7c8->c4d6,2,2,0,0.23458504676818848
4N3/3n1k2/4p1N1/5n1P/8/5pq1/4Q3/1B5K w - - 0 1,e2e6->f7e6->b1a2,2,2,0,0.6870195865631104
1qk5/1N1p4/1K1Pr3/8/Q2Rn3/8/8/8 w - - 0 1,a4a1->b8a8->a1a8,2,2,0,0.11762523651123047
k7/p1K5/1n1P4/3bq3/Q3B3/8/8/8 w - - 0 1,a4b3->b6c8->b3b8,2,2,0,0.31519317626953125
kn1R1N2/p1r1p3/1p3p2/8/Q3PBp1/P1N1PnP1/1P3q2/7K w - - 0 1,a4c6->c7c6->d8b8,2,2,0,1.307542085647583
1r1b4/Pn1kq3/1n2b3/1N1p4/P2P4/8/1P6/K1Q5 w - - 0 1,a7b8r->d8c7->c1c7,2,2,0,0.8540608882904053
3R4/pb5Q/pknp2rp/2p5/1Pr2pqB/2N5/P5PP/6K1 w - - 0 1,a2a4->b7c8->c3d5,2,2,0,9.025158882141113
r5b1/ppq2N1k/6p1/7p/6Q1/8/1B3PPP/5BK1 w - - 0 1,g4d4->g8f7->d4g7,2,2,0,1.7766480445861816
5k2/5ppQ/7r/3b4/8/3B1P2/3q1P1P/4RK2 w - - 0 1,d3b5->h6h7->e1e8,2,2,0,0.15766501426696777
1R6/8/p7/kb1N4/2r5/1Q6/K7/2q5 w - - 0 1,b3c3->a5a4->d5b6,2,2,0,3.4343080520629883
1q1r3k/6p1/4Qn1N/8/8/3B4/5PPP/6K1 w - - 0 1,f2f4->d8g8->h6f7,2,2,0,0.7459049224853516
r4n1n/5r1k/R6P/3N4/8/1B5P/6Q1/7K w - - 0 1,g2c2->h7g8->d5f6,2,2,0,0.3506197929382324
6rk/5Qpp/8/4B1b1/7q/8/6PP/5R1K w - - 0 1,g2g4->g8f8->e5g7,2,2,0,0.27637386322021484
r3rn2/pp2pkb1/1qppnp2/5N1b/3P4/3B1NQ1/PPP3PP/R1B1R2K w - - 0 1,d3c4->f8h7->g3g7,2,2,0,0.6071910858154297
3b4/1n1kp3/8/3n3B/7q/N7/7B/2Q4K w - - 0 1,c1a1->d8c7->a1b1->c7h2,3,2,-1,1.8910582065582275
2r1r3/1bk1n3/3p4/1P6/q1p1P3/1N2B2B/1K5Q/8 w - - 0 1,h2d6->c7d6->e3f4,2,2,0,18.243966102600098
2kb4/1p1p4/2p5/2Q5/2B5/2q5/7B/1K6 w - - 0 1,c5a3->d8e7->a3a8,2,2,0,0.2810549736022949
2k1K3/1n1p4/Nb1P4/q2Q4/8/8/8/8 w - - 0 1,d5h1->b7d8->h1a8,2,2,0,0.43459296226501465
1rr3k1/2q1ppb1/p1p3pQ/7n/1p1BP1P1/P1N2P2/1PP4R/1K3B1R w - - 0 1,d4g7->c8f8->h6h8,2,2,0,0.3747551441192627
1r3rk1/p3qp1p/b2p1RnQ/2pP4/P3B3/1pBP4/2P4P/1R4K1 w - - 0 1,e4g6->g8h8->h6h7,2,2,0,0.33119797706604004
R4bkr/1r3ppp/8/4P3/4p3/8/6QR/1rB3K1 w - - 0 1,g2g7->g8g7->h2g2,2,2,0,0.32670116424560547
5B2/p4p1p/1p4k1/5p2/2B1rP2/1P3QPP/5n1K/4q3 w - - 0 1,f3c3->g6h5->c4f7,2,2,0,1.6694231033325195
8/1p2R2p/p1b3pk/2Q5/5p1P/P4P2/1P3P2/KB1r2q1 w - - 0 1,c5c1->h6h5->e7h7,2,2,0,2.395369052886963
1r6/8/5bk1/5Np1/3P2Q1/4PP2/Br1q4/K7 w - - 0 1,a2f7->g6h7->g4h3,2,2,0,0.9504151344299316
rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR w KQq - 0 1,d1h5->h6h5->d3g6,2,2,0,1.7386648654937744
r2q1rk1/1b2bp2/ppn1p1p1/3P2Np/2P4Q/P2B4/1B3PPP/R4RK1 w - - 0 1,h4d4->f8e8->d4g7,2,2,0,1.1976978778839111
2q1r3/5Rnp/6pk/6N1/7P/8/1r2Q3/3B2K1 w - - 0 1,e2b2->e8h8->b2g7,2,2,0,2.740513801574707
2q5/pR6/1p3pnk/6pp/8/5QPP/P2r2BK/8 w - - 0 1,f3h5->h6h5->b7h7,2,2,0,0.7322640419006348
2r2r1k/2q3n1/p4Bp1/3Bb2p/5p1Q/7R/1PP3PP/3R3K w - - 0 1,h4h5->g6h5->h3h5,2,2,0,1.2090699672698975
8/p7/8/q2p4/6B1/4KN2/6k1/2Q2n2 w - - 0 1,c1f1->g2f1->g4h3,2,2,0,0.09549999237060547
r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4 w - - 0 1,h5g6->g8f8->h6h7,2,2,0,0.22998285293579102
8/q2p4/2n1n3/1K5Q/4k2P/1N2p1B1/8/3N4 w - - 0 1,b5c4->a7b8->d1c3,2,2,0,0.13694167137145996
2b5/7K/8/6Rp/5Q1p/3p1B1k/8/1r3q2 w - - 0 1,f3c6->c8d7->c6d7,2,2,0,1.082716941833496
8/5N2/3QN3/3n4/4k1n1/1q6/4K3/8 w - - 0 1,d6c5->d5e7->f7g5,2,2,0,0.32128000259399414
r3r1k1/1b3p1p/p4PN1/1p1Np3/1Q6/P6q/2P1B2P/3n1RK1 w - - 0 1,c2c4->e8f8->d5e7,2,2,0,0.7498548030853271
r2qkr2/p2nb1Qp/bp2P3/3p1Np1/8/8/PPP2PPP/RN2K2R w KQq - 0 1,a2a4->f8h8->g7f7,2,2,0,0.3324260711669922
r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1BbK2R w KQkq - 0 1,d5e3->h8g8->b3f7,2,2,0,0.9950966835021973
1qrbbk2/5p1Q/p3p3/1p2N1N1/3P4/P7/1P3PPP/5RK1 w - - 0 1,e5c6->e8d7->h7f7,2,2,0,0.7496798038482666
r4k1r/ppp3pp/8/3R1PBQ/b1B5/2bK4/Pq4PP/6NR w - - 0 1,d5d4->h8g8->h5f7,2,2,0,0.29279184341430664
r3k1nr/p2qpp2/2n1Nb1p/7Q/5N2/8/P1B2PPP/R4RK1 w kq - 0 1,h5g4->h8h7->g4g8,2,2,0,2.4461212158203125
5rkr/pp3p2/2p3p1/6R1/1b2N1Q1/3P4/qPP4P/2K5 w - - 0 1,g5g6->f7g6->g4g6,2,2,0,0.15211081504821777
4rbkr/4n1Pp/4p3/4P2B/1p6/pPqN4/2P4P/1KQ3R1 w - - 0 1,g7f8n->g8f8->c1h6,2,2,0,0.33736491203308105
q1r1k2r/3R1nQp/p3N1b1/1p4P1/7P/P1N5/1PP5/1K1R4 w k - 0 1,b2b4->h8g8->g7g8,2,2,0,0.29427266120910645
r2q1r2/pp2np2/1bp4p/3p2pk/1P1N2b1/2PB2B1/P3QPPP/R3K2R w KQ - 0 1,f2f3->f8h8->f3g4,2,2,0,9.104960918426514
r2qb1n1/ppp4k/3p2pp/3N4/3BPQ2/8/PPP3PP/5RK1 w - - 0 1,f4e5->g8e7->e5g7,2,2,0,1.0663280487060547
2rk3r/p1p1bppp/1pBp3n/3P2N1/1qb5/2N1QP2/PPP3PP/R1B4K w - - 0 1,e3e6->a7a5->e6d7,2,2,0,1.033158302307129
6k1/2pr3r/1p2p2q/p2P2pp/P1P3b1/6P1/1B3R1P/1Q3RK1 w - - 0 1,b1g6->h6g6->f2f8,2,2,0,2.3733460903167725
rn4nr/pppq2bk/6bp/7P/4NB2/3B4/PPP3P1/R3K2R w KQ - 0 1,e4g5->h6g5->h5g6,2,2,0,5.361399173736572
r1bq1b1r/1ppknBp1/p2p3p/n3p3/3PP3/1QP2N2/PP3PPP/RNB1K2R w KQ - 0 1,b3d5->h8g8->f3e5,2,2,0,0.45045995712280273
6k1/6P1/5PBK/3bp3/4p3/8/8/6q1 w - - 0 1,f6f7->d5f7->g6h7,2,2,0,0.11442708969116211
r4k2/ppq3pp/2p1Qn2/6N1/3P1P1N/8/PPPn2PP/R5K1 w - - 0 1,g5h7->f6h7->h4g6,2,2,0,0.6803178787231445
2r1rn2/pb2bB2/1q2p2k/1pppB1pP/3P2P1/4P3/PPQ2P2/1K1R3R w - - 0 1,a2a4->f8h7->c2g6,2,2,0,1.4060349464416504
r2q1b1r/pppbk2p/3p1pB1/3Pp2Q/2P5/4B2P/PP3PP1/R3K2R w KQ - 0 1,h5e5->d6e5->e3c5,2,2,0,2.99308705329895
8/8/3Bq3/8/2pkp3/2pb1pP1/3Q4/3K4 w - - 0 1,d2f2->d4d5->f2c5,2,2,0,0.890190839767456
8/p1B5/6b1/6k1/2q3P1/7P/7K/4Q3 w - - 0 1,e1h4->g5h4->c7d8,2,2,0,0.13947010040283203
3Q4/4npk1/4pNp1/8/4K3/8/q7/2B5 w - - 0 1,c1d2->g7f6->d8h8,2,2,0,0.12896108627319336
1r2q1rk/R2R2p1/6p1/8/5Q1P/8/6P1/6K1 w - - 0 1,f4h6->g7h6->d7h7,2,2,0,4.277193069458008
r6k/pp1b2p1/3Np2p/r3P3/1q1p1PRQ/2nB4/2PK1B1P/8 w - - 0 1,h4g5->h8g8->g5g7,2,2,0,0.9474918842315674
r1b1qN1k/1ppp2p1/p6n/4p1B1/8/1BP4Q/PP3KPP/RN6 w - - 0 1,h3h6->g7h6->g5f6,2,2,0,0.4737851619720459
n5Q1/k1p1N2B/3N1q2/b7/8/8/2PP4/3K4 w - - 0 1,h7d3->a8b6->e7c6,2,2,0,0.8993332386016846
r2n1k1r/ppp1n2p/4QN2/4p1N1/8/q7/P4PPP/R3R1K1 w - - 0 1,e6f7->d8f7->g5e6,2,2,0,0.4812440872192383
r1b2k1r/ppN1nppp/2nQ4/8/8/8/qPP2PPP/2KR1B1R w - - 0 1,d6c6->h8g8->d1d8,2,2,0,1.1402039527893066
rn5k/1Qp3pp/p1q5/5b2/8/2N5/PP2B1PP/5RK1 w - - 0 1,b7c6->h8g8->c6e8,2,2,0,0.21315789222717285
r1b1qrk1/pppp1p1p/2n2Bn1/b7/2B1P3/2P3Q1/PP3PP1/RN2K1NR w KQ - 0 1,g3h2->e8d8->h2h7,2,2,0,2.6015641689300537
2rqkbr1/pb1p2p1/1p1QP1Np/nN6/6P1/7P/PPPB1P2/R3K1R1 w Q - 0 1,e6d7->e8f7->g6e5,2,2,0,0.9071691036224365
r3r3/pp2R2p/5pkq/2Q2bb1/5p2/1P4PP/P4PB1/2R3K1 w - - 0 1,g3g4->e8h8->c5f5,2,2,0,2.18869686126709
4n2r/1pp1N3/r2p3p/4PR2/3P2qk/1Q6/P5PP/R5K1 w - - 0 1,e7g6->g4g6->b3h3,2,2,0,0.8098070621490479
5rkr/5ppp/7q/8/4N1R1/6R1/6PP/7K w - - 0 1,g4g7->h6g7->e4f6,2,2,0,0.05846881866455078
kr6/pr6/1b6/1N3n2/4B1p1/4P1Bq/5P2/R5K1 w - - 0 1,a1a7->b6a7->b5c7,2,2,0,1.6804511547088623
8/8/3K2p1/5pkq/8/2Q2P1P/5P2/8 w - - 0 1,f3f4->g5f4->c3e3,2,2,0,0.591087818145752
5r2/5qkp/1pB1b3/p3bpB1/P1Pp1P2/1P4Q1/6PP/3R2K1 w - - 0 1,g5f6->g7f6->g3g5,2,2,0,0.8091750144958496
3rkn2/3b3R/3b1PP1/8/8/8/8/6K1 w - - 0 1,h7e7->d6e7->f6f7,2,2,0,0.26973986625671387
7q/8/4Bp2/1p1p4/3k4/3b2Q1/3K4/4R3 w - - 0 1,e1c1->h8g8->g3e3,2,2,0,1.1707520484924316
r2q1rk1/pb3p2/1p3b1Q/nP1n1N2/8/P2B4/2P2PPP/R4RK1 w - - 0 1,f5e7->d5e7->h6h7,2,2,0,0.9299638271331787
rnbq1r2/pp1p2pB/2k1p3/2pNQ3/P2P3P/8/1PP1P3/R3K2R w KQ - 0 1,b2b4->f8h8->b4b5,2,2,0,1.9162101745605469
r5rk/1R6/p2p1n2/2pPpB1p/P1P1P3/8/1P6/1K5R w - - 0 1,h1h5->f6h5->b7h7,2,2,0,2.548752784729004
4r3/6p1/1Nbb1p1p/1p2kP2/2p1P3/6P1/1PB3KP/3R4 w - - 0 1,b6d7->c6d7->d1d5,2,2,0,0.3581268787384033
1k6/1p5p/1Pp2pp1/4r3/8/7P/qP4PQ/5RK1 w - - 0 1,h2e5->f6e5->f1f8,2,2,0,0.05099081993103027
3qr1k1/p4p1p/1n1p2pP/8/2p2N1Q/2P1R1P1/1P3P2/6K1 w - - 0 1,h4f6->a7a5->f6g7,2,2,0,0.15075278282165527
rn4R1/pp3N1p/2p1B1p1/7k/3q4/6PP/P1P3P1/5R1K w - - 0 1,f1f4->b8d7->e6g4,2,2,0,0.4512050151824951
R7/2q3bk/6N1/5p1P/3Q2p1/6P1/7K/2q5 w - - 0 1,a8h8->g7h8->d4h8,2,2,0,0.1931309700012207
2R5/b7/8/1q6/N7/1k6/p1N2r2/7K w - - 0 1,c8c3->b3a4->c3a3,2,2,0,0.7599380016326904
bb1Nn3/n5pp/4Q3/2pp1P2/3p1kPp/1q1Pp3/1B2B2P/5K2 w - - 0 1,f5f6->e8c7->e6f5,2,2,0,3.1434171199798584
1N2B3/r1n5/4rq2/kb2N3/pp6/2n5/4Q1P1/6RK w - - 0 1,e2b5->c3b5->e5c4,2,2,0,0.7654342651367188
r4r2/ppq3p1/4bkn1/5pN1/5n2/2N3Q1/PP3PPP/3RR1K1 w - - 0 1,e1e6->f4e6->c3d5,2,2,0,0.6420869827270508
r2q4/2p2pK1/1p1r1R2/2kp4/3N4/2PP4/Q7/8 w - - 0 1,a2d5->d6d5->f6c6,2,2,0,0.11679601669311523
2k5/P1n1K3/1r6/1N1b4/1R6/8/8/8 w - - 0 1,b5d6->b6d6->b4b8,2,2,0,0.16439390182495117
2bq1nkb/2p4p/2pp3Q/r4NpN/p2PP3/2P5/PP4PP/5RK1 w - - 0 1,b2b4->h8g7->h6g7,2,2,0,0.1906270980834961
8/8/8/R7/1rkbr3/1N6/2KQb3/8 w - - 0 1,d2c1->e4e8->b3d2,2,2,0,5.805829048156738
7r/3RQ3/6pk/6N1/6PP/2b5/6K1/4q3 w - - 0 1,g2h2->h8g8->e7h7,2,2,0,0.13426923751831055
3q1rr1/pppn1ppk/3p3p/3PnN2/P3P2Q/2N1P2R/6PP/7K w - - 0 1,h3g3->g8h8->g3g7,2,2,0,0.7074286937713623
8/7k/r3nPpp/p1q1P1p1/2pp2P1/4R2Q/7P/5R1K w - - 0 1,f6f7->h7h8->h3h6,2,2,0,0.08822989463806152
8/R7/5p1k/5Pp1/2b5/7P/1q3bK1/3Q4 w - - 0 1,d1a1->h6h5->a7h7,2,2,0,0.44165515899658203
3q1rB1/p7/1pb1rbk1/2Ppp3/7P/P4QK1/P2P4/8 w - - 0 1,f3d3->g6g7->d3h7,2,2,0,0.2775857448577881
r3r1k1/pbpn2b1/1p3qQ1/3p2N1/3P4/2N1P3/PP3PP1/R3K2R w KQ - 0 1,e1g1->g8h8->g6h7,2,2,0,1.7411110401153564
3q4/4np1b/4pk2/8/1Pn2B1K/4QB2/8/8 w - - 0 1,e3g1->d8h8->g1g5,2,2,0,1.1721107959747314
6B1/8/8/2q2kb1/3n4/2B3K1/Q7/8 w - - 0 1,a2e6->d4e6->g8h7,2,2,0,0.4577188491821289
r1b3rk/pp3Q1p/4pP2/4N1p1/7P/8/P2q1PP1/2R3KR w - - 0 1,a2a4->g8f8->f7g7,2,2,0,0.22283601760864258
r1b1qr2/pppnbkpp/5p2/n7/2P2BP1/3PQ3/PP3PBP/R4RK1 w - - 0 1,e3e6->f7e6->g2d5,2,2,0,0.5868768692016602
8/5Q1p/5np1/5N1k/R4P2/P6P/6PK/4qr2 w - - 0 1,g2g3->f6g8->g3g4,2,2,0,0.3308396339416504
8/pp1nQ2p/2b1p1k1/2p2p2/2P3BP/4KP2/PPq5/5r2 w - - 0 1,g4f5->g6h6->e7g5,2,2,0,0.21078014373779297
8/8/7p/3qb3/3pkpP1/5N2/4KP2/1n6 w - - 0 1,f3g5->h6g5->f2f3,2,2,0,0.014270782470703125
6br/5p1k/5K1p/5P1p/5N2/8/8/8 w - - 0 1,f4h5->None,2,2,0,0.008704900741577148
r1bq4/pppn2R1/3p1n2/4P2p/3P2pk/3Q4/PPP3P1/R6K w - - 0 1,h1h2->d8h8->g2g3,2,2,0,1.8343281745910645
rq1rn2k/1p1bNpbp/p2p4/4PQ2/2Pn4/4BN1P/PP2B1P1/3R1R1K w - - 0 1,e2d3->e8c7->f5h7,2,2,0,4.32987380027771
7k/5K2/5N2/8/3R1N2/3q4/8/8 w - - 0 1,f4g6->d3g6->f7g6->None,3,2,-1,0.1695868968963623
5q1k/8/2R2NK1/6N1/8/8/8/8 w - - 0 1,g5f7->f8f7->g6f7->None,3,2,-1,0.10226821899414062
1N1q4/1b6/4R3/k2N4/r1PK4/8/8/8 w - - 0 1,e6a6->b7a6->b8c6,2,2,0,0.10752367973327637
3r1brk/5Rpp/R7/4p1N1/7P/8/5PPK/8 w - - 0 1,a6h6->e5e4->h6h7,2,2,0,0.5108640193939209
1r1q3r/ppp1R3/2np1bpk/3P1Q1n/6p1/8/PP1N1PP1/5K1R w - - 0 1,h1h5->g6h5->f5f6,2,2,0,3.3593132495880127
1R4R1/5p2/4p3/4Pk1p/5P1b/5K1P/r2rN3/8 w - - 0 1,e2g3->h4g3->g8g5,2,2,0,3.1819241046905518
4r3/pp3p1p/6p1/2RR4/6Pk/5P2/PP4K1/4r3 w - - 0 1,d5h5->g6h5->c5h5,2,2,0,0.5840749740600586
4r3/1rN2Pkp/3p2p1/6Pn/1p2P3/1Ppq4/P5RP/5R1K w - - 0 1,a2a4->e8h8->c7e6,2,2,0,0.3486967086791992
8/1K2R3/6pk/2p1p1pp/1p2P2R/1Pq2b2/2r5/5Q2 w - - 0 1,f1f2->f3g4->f2f8,2,2,0,1.7771761417388916
2B1k3/5p1p/1K3p1Q/1p1R1b1n/4p2r/8/7q/8 w - - 0 1,d5b5->e8d8->h6f8,2,2,0,1.2331829071044922
2N5/p7/p2N4/k1n1n3/3R4/PP4p1/K4b2/8 w - - 0 1,d4a4->c5a4->b3b4,2,2,0,0.5022330284118652
r2k3r/p2Bp3/3Q4/qnp3Rp/7B/n1p5/4K3/6b1 w - - 0 1,e2d1->h8g8->g5g8,2,2,0,0.45380496978759766
r7/1p3p1p/n2k1PnK/4R3/2qN4/1N1p2Bb/4B3/7r w - - 0 1,e2f3->a8h8->e5d5,2,2,0,0.7026350498199463
7b/4K1n1/7q/p2bkp2/4pNp1/4PP2/r7/8 w - - 0 1,f4g6->h6g6->f3f4,2,2,0,0.14884710311889648
8/5n2/1B3K2/1B1kp3/5R2/3p4/7q/4R2n w - - 0 1,e1d1->f7h8->d1d3,2,2,0,1.198983907699585
r2k3r/p2Bp3/3Q4/1qp3Rp/7B/n1p5/4K3/6b1 w - - 0 1,d7b5->e7d6->g5c5,2,2,0,0.4134340286254883
rnb2n1k/pp2pQbN/3p4/4P3/5P2/4B1K1/P5P1/q6R w - - 0 1,h7g5->f8h7->h1h7,2,2,0,0.22262310981750488
8/8/8/4r2q/R2ppN2/2k4p/2P1bN2/2K5 w - - 0 1,f2h1->h5h8->f4e2,2,2,0,0.2469041347503662
8/8/8/5Kn1/6Pk/6R1/5P2/2q3N1 w - - 0 1,f2f4->g5h7->g3h3,2,2,0,0.08255290985107422
r6k/q2n3p/p6N/1p6/1PbbB3/P7/5R1P/6QK w - - 0 1,g1g6->a8g8->g6h7,2,2,0,1.9942758083343506
6k1/ppq3P1/2n1p3/3p2Qb/3P1r2/2PB4/PP1N2PP/6K1 w - - 0 1,a2a4->g8f7->g7g8q,2,2,0,2.809792995452881
